variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status,source_csv,precision,recall,f_score,resolved_result_file,metric_source
v1,analogy,frequent-ngram,2,2,1,2,7,100,0.15,0.85,none,resources/text//intrinsic/175838085.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-2-733130507.xml,0.0166953281743,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,657292.746348,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-2-733130507.xml,result_file
v2,analogy,frequent-ngram,2,2,3,2,7,100,0.15,0.85,none,resources/text//intrinsic/175838771.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-2-392817383.xml,0.0173402120952,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,646723.35909,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-2-392817383.xml,result_file
v3,analogy,frequent-ngram,2,2,5,2,7,100,0.15,0.85,none,resources/text//intrinsic/175839457.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-2-52504259.xml,0.0166236744053,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,648178.536816,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-2-52504259.xml,result_file
v4,analogy,frequent-ngram,3,3,1,3,7,100,0.15,0.85,none,resources/text//intrinsic/175840542.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-3-2012347133.xml,0.0175551734021,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,671727.493611,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-3-2012347133.xml,result_file
v5,analogy,frequent-ngram,3,3,3,3,7,100,0.15,0.85,none,resources/text//intrinsic/175841228.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-3-1672034009.xml,0.0171969045572,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,652080.356919,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-3-1672034009.xml,result_file
v6,analogy,frequent-ngram,3,3,5,3,7,100,0.15,0.85,none,resources/text//intrinsic/175841914.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-3-1331720885.xml,0.0164087130983,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,634982.837867,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-3-1331720885.xml,result_file
v7,analogy,frequent-ngram,4,4,1,4,7,100,0.15,0.85,none,resources/text//intrinsic/175842999.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-4--1003403537.xml,0.0174835196331,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,665964.414687,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-4--1003403537.xml,result_file
v8,analogy,frequent-ngram,4,4,3,4,7,100,0.15,0.85,none,resources/text//intrinsic/175843685.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-4--1343716661.xml,0.0166236744053,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,704919.473881,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-4--1343716661.xml,result_file
v9,analogy,frequent-ngram,4,4,5,4,7,100,0.15,0.85,none,resources/text//intrinsic/175844371.txt,resources/results/skip/frequent-ngram/intrinsic/skip//240-4--1684029785.xml,0.0161220980224,,found,resources/results/reviewer1/comment1-analogy-frequent-ngram.csv,,,657691.41354,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/frequent-ngram/intrinsic/skip/240-4--1684029785.xml,result_file
v1,analogy,lm-lemma,2,2,1,2,7,100,0.15,0.85,none,resources/text//intrinsic/-1392569637.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-2-1659686289.xml,0.0308827744339,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2193990.42921,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-2-1659686289.xml,result_file
