variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status
"v1","morphology","lm-lemma","2","2","1","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v1--1392569637.csv","0.428374","0.475877","found"
"v2","morphology","lm-lemma","2","2","3","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v2--1392568951.csv","0.428374","0.475877","found"
"v3","morphology","lm-lemma","2","2","5","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v3--1392568265.csv","0.428374","0.475877","found"
"v4","morphology","lm-lemma","3","3","1","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v4--1392567180.csv","0.428374","0.475877","found"
"v5","morphology","lm-lemma","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v5--1392566494.csv","0.428374","0.475877","found"
"v6","morphology","lm-lemma","3","3","5","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v6--1392565808.csv","0.428374","0.475877","found"
"v7","morphology","lm-lemma","4","4","1","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v7--1392564723.csv","0.428374","0.475877","found"
"v8","morphology","lm-lemma","4","4","3","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v8--1392564037.csv","0.428374","0.475877","found"
"v9","morphology","lm-lemma","4","4","5","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v9--1392563351.csv","0.428374","0.475877","found"
"v10","morphology","lm-lemma","3","3","3","3","7","100","0.0","1.0","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v10--2079644288.csv","0.428374","0.475877","found"
"v11","morphology","lm-lemma","3","3","3","3","7","100","0.0","1.0","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v11--1747506257.csv","0.428374","0.475877","found"
"v12","morphology","lm-lemma","3","3","3","3","7","100","0.0","1.0","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v12-1689808136.csv","0.428374","0.475877","found"
"v13","morphology","lm-lemma","3","3","3","3","7","100","0.0","1.0","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v13-1363077970.csv","0.428374","0.475877","found"
"v14","morphology","lm-lemma","3","3","3","3","7","100","0.05","0.95","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v14-941152357.csv","0.428374","0.475877","found"
"v15","morphology","lm-lemma","3","3","3","3","7","100","0.05","0.95","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v15-1273290388.csv","0.428374","0.475877","found"
"v16","morphology","lm-lemma","3","3","3","3","7","100","0.05","0.95","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v16-415637485.csv","0.428374","0.475877","found"
"v17","morphology","lm-lemma","3","3","3","3","7","100","0.05","0.95","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v17-88907319.csv","0.428374","0.475877","found"
"v18","morphology","lm-lemma","3","3","3","3","7","100","0.15","0.85","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v18-2119117743.csv","0.428374","0.475877","found"
"v19","morphology","lm-lemma","3","3","3","3","7","100","0.15","0.85","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v19-1261464840.csv","0.428374","0.475877","found"
"v20","morphology","lm-lemma","3","3","3","3","7","100","0.15","0.85","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v20-934734674.csv","0.428374","0.475877","found"
"v21","morphology","lm-lemma","3","3","3","3","7","100","0.3","0.7","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v21--1782897280.csv","0.428374","0.475877","found"
"v22","morphology","lm-lemma","3","3","3","3","7","100","0.3","0.7","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v22--1450759249.csv","0.428374","0.475877","found"
"v23","morphology","lm-lemma","3","3","3","3","7","100","0.3","0.7","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v23-1986555144.csv","0.428374","0.475877","found"
"v24","morphology","lm-lemma","3","3","3","3","7","100","0.3","0.7","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v24-1659824978.csv","0.428374","0.475877","found"
"v25","morphology","lm-lemma","3","3","3","3","7","100","0.5","0.5","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v25--1189403264.csv","0.428374","0.475877","found"
"v26","morphology","lm-lemma","3","3","3","3","7","100","0.5","0.5","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v26--857265233.csv","0.428374","0.475877","found"
"v27","morphology","lm-lemma","3","3","3","3","7","100","0.5","0.5","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v27--1714918136.csv","0.428374","0.475877","found"
"v28","morphology","lm-lemma","3","3","3","3","7","100","0.5","0.5","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v28--2041648302.csv","0.428374","0.475877","found"
