variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,status
"v1","analogy","lm-rank","2","2","1","2","7","100","0.15","0.85","none","resources/text//intrinsic/249431159.txt","resources/results/skip/lm-rank/intrinsic/skip//240-2--1826068211.xml","failed: head of empty array"
"v2","analogy","lm-rank","2","2","3","2","7","100","0.15","0.85","none","resources/text//intrinsic/249431845.txt","resources/results/skip/lm-rank/intrinsic/skip//240-2-2128585961.xml","failed: head of empty array"
"v3","analogy","lm-rank","2","2","5","2","7","100","0.15","0.85","none","resources/text//intrinsic/249432531.txt","resources/results/skip/lm-rank/intrinsic/skip//240-2-1788272837.xml","failed: head of empty array"
"v4","analogy","lm-rank","3","3","1","3","7","100","0.15","0.85","none","resources/text//intrinsic/249433616.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--546851585.xml","failed: head of empty array"
"v5","analogy","lm-rank","3","3","3","3","7","100","0.15","0.85","none","resources/text//intrinsic/249434302.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--887164709.xml","failed: head of empty array"
"v6","analogy","lm-rank","3","3","5","3","7","100","0.15","0.85","none","resources/text//intrinsic/249434988.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--1227477833.xml","failed: head of empty array"
"v7","analogy","lm-rank","4","4","1","4","7","100","0.15","0.85","none","resources/text//intrinsic/249436073.txt","resources/results/skip/lm-rank/intrinsic/skip//240-4-732365041.xml","failed: head of empty array"
"v8","analogy","lm-rank","4","4","3","4","7","100","0.15","0.85","none","resources/text//intrinsic/249436759.txt","resources/results/skip/lm-rank/intrinsic/skip//240-4-392051917.xml","failed: head of empty array"
"v9","analogy","lm-rank","4","4","5","4","7","100","0.15","0.85","none","resources/text//intrinsic/249437445.txt","resources/results/skip/lm-rank/intrinsic/skip//240-4-51738793.xml","failed: head of empty array"
"v10","analogy","lm-rank","3","3","3","3","7","100","0.0","1.0","none","resources/text//intrinsic/-437643492.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-2051807255.xml","failed: head of empty array"
"v11","analogy","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_parts","resources/text//intrinsic/-105505461.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--1563233867.xml","failed: head of empty array"
"v12","analogy","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_sqrt_parts","resources/text//intrinsic/-963158364.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--1886323417.xml","failed: head of empty array"
"v13","analogy","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_log_parts","resources/text//intrinsic/-1289888530.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--167916229.xml","failed: head of empty array"
"v14","analogy","lm-rank","3","3","3","3","7","100","0.05","0.95","none","resources/text//intrinsic/-1711814143.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--496453727.xml","failed: head of empty array"
"v15","analogy","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_parts","resources/text//intrinsic/-1379676112.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-183472447.xml","failed: head of empty array"
"v16","analogy","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_sqrt_parts","resources/text//intrinsic/2057638281.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--139617103.xml","failed: head of empty array"
"v17","analogy","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_log_parts","resources/text//intrinsic/1730908115.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-1578790085.xml","failed: head of empty array"
"v18","analogy","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_parts","resources/text//intrinsic/-533848757.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--1715277387.xml","failed: head of empty array"
"v19","analogy","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_sqrt_parts","resources/text//intrinsic/-1391501660.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--2038366937.xml","failed: head of empty array"
"v20","analogy","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_log_parts","resources/text//intrinsic/-1718231826.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3--319959749.xml","failed: head of empty array"
"v21","analogy","lm-rank","3","3","3","3","7","100","0.3","0.7","none","resources/text//intrinsic/-140896484.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-28055575.xml","failed: head of empty array"
"v22","analogy","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_parts","resources/text//intrinsic/191241547.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-707981749.xml","failed: head of empty array"
"v23","analogy","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_sqrt_parts","resources/text//intrinsic/-666411356.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-384892199.xml","failed: head of empty array"
"v24","analogy","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_log_parts","resources/text//intrinsic/-993141522.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-2103299387.xml","failed: head of empty array"
"v25","analogy","lm-rank","3","3","3","3","7","100","0.5","0.5","none","resources/text//intrinsic/452597532.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-275519511.xml","failed: head of empty array"
"v26","analogy","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_parts","resources/text//intrinsic/784735563.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-955445685.xml","failed: head of empty array"
"v27","analogy","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_sqrt_parts","resources/text//intrinsic/-72917340.txt","resources/results/skip/lm-rank/intrinsic/skip//240-3-632356135.xml","failed: head of empty array"
