task,method,metric,parameter,levels,observations,effect_range,relative_effect,best_level,best_level_mean
analogy,frequent-ngram,accuracy,lm_window_length,3,9,0.000310499665616,0.216666666667,3,0.0170535970192
analogy,frequent-ngram,accuracy,lm_slide_length,3,9,0.000310499665616,0.216666666667,3,0.0170535970192
analogy,frequent-ngram,accuracy,lm_top_split,3,9,0.000859845227859,0.6,1,0.0172446737365
analogy,frequent-ngram,accuracy,lm_skip,3,9,0.000310499665616,0.216666666667,3,0.0170535970192
analogy,lm-lemma,accuracy,lm_window_length,3,28,0.0012246280518,0.44976076555,3,0.0314625185648
analogy,lm-lemma,accuracy,lm_slide_length,3,28,0.0012246280518,0.44976076555,3,0.0314625185648
analogy,lm-lemma,accuracy,lm_top_split,3,28,0.000793619774703,0.291467304625,3,0.0314136637223
analogy,lm-lemma,accuracy,lm_skip,3,28,0.0012246280518,0.44976076555,3,0.0314625185648
analogy,lm-lemma,accuracy,lm_likelihood_weight,5,28,0.000979268176173,0.359649122807,0.0,0.031760533104
analogy,lm-lemma,accuracy,lm_prior_weight,5,28,0.000979268176173,0.359649122807,1.0,0.031760533104
analogy,lm-lemma,accuracy,lm_length_penalty,4,28,0.000856538130829,0.314574898785,inverse_log_parts,0.031728288908
analogy,lm-rank,accuracy,lm_window_length,3,28,0.000333298592112,0.193813131313,2,0.000883729817522
analogy,lm-rank,accuracy,lm_slide_length,3,28,0.000333298592112,0.193813131313,2,0.000883729817522
analogy,lm-rank,accuracy,lm_top_split,3,28,0.0012181140728,0.708333333333,5,0.00138530620044
analogy,lm-rank,accuracy,lm_skip,3,28,0.000333298592112,0.193813131313,2,0.000883729817522
analogy,lm-rank,accuracy,lm_likelihood_weight,5,28,0.000394095729435,0.229166666667,0.5,0.000770278016624
analogy,lm-rank,accuracy,lm_prior_weight,5,28,0.000394095729435,0.229166666667,0.5,0.000770278016624
analogy,lm-rank,accuracy,lm_length_penalty,4,28,0.000137795709593,0.0801282051282,none,0.000639372092511
analogy,lm-skip,accuracy,lm_window_length,3,9,0.000382153434604,0.0185185185185,4,0.012396102035
analogy,lm-skip,accuracy,lm_slide_length,3,9,0.000382153434604,0.0185185185185,4,0.012396102035
analogy,lm-skip,accuracy,lm_top_split,3,9,0.0203019012133,0.983796296296,3,0.020469093341
analogy,lm-skip,accuracy,lm_skip,3,9,0.000382153434604,0.0185185185185,4,0.012396102035
analogy,lm-subword,accuracy,lm_window_length,3,12,0.00685487723321,0.182569974555,3,0.0285659692366
analogy,lm-subword,accuracy,lm_slide_length,3,12,0.00685487723321,0.182569974555,3,0.0285659692366
analogy,lm-subword,accuracy,lm_top_split,3,12,0.0355760963027,0.947519083969,3,0.0358149421993
analogy,lm-subword,accuracy,lm_skip,3,12,0.00685487723321,0.182569974555,3,0.0285659692366
analogy,lm-syllable,accuracy,lm_window_length,3,9,2.38845896627e-05,0.0114942528736,3,0.000979268176173
analogy,lm-syllable,accuracy,lm_slide_length,3,9,2.38845896627e-05,0.0114942528736,3,0.000979268176173
analogy,lm-syllable,accuracy,lm_top_split,3,9,0.00198242094201,0.954022988506,5,0.00200630553167
analogy,lm-syllable,accuracy,lm_skip,3,9,2.38845896627e-05,0.0114942528736,3,0.000979268176173
morphology,frequent-ngram,f_score,lm_window_length,3,9,0,0,2,0.345762
morphology,frequent-ngram,f_score,lm_slide_length,3,9,0,0,2,0.345762
morphology,frequent-ngram,f_score,lm_top_split,3,9,0,0,1,0.345762
morphology,frequent-ngram,f_score,lm_skip,3,9,0,0,2,0.345762
morphology,lm-lemma,f_score,lm_window_length,3,28,5.55111512313e-17,0,3,0.475877
morphology,lm-lemma,f_score,lm_slide_length,3,28,5.55111512313e-17,0,3,0.475877
morphology,lm-lemma,f_score,lm_top_split,3,28,5.55111512313e-17,0,3,0.475877
morphology,lm-lemma,f_score,lm_skip,3,28,5.55111512313e-17,0,3,0.475877
morphology,lm-lemma,f_score,lm_likelihood_weight,5,28,5.55111512313e-17,0,0.0,0.475877
morphology,lm-lemma,f_score,lm_prior_weight,5,28,5.55111512313e-17,0,1.0,0.475877
morphology,lm-lemma,f_score,lm_length_penalty,4,28,0,0,none,0.475877
morphology,lm-rank,f_score,lm_window_length,3,28,0.0474183333333,0.280729693941,2,0.44137
morphology,lm-rank,f_score,lm_slide_length,3,28,0.0474183333333,0.280729693941,2,0.44137
morphology,lm-rank,f_score,lm_top_split,3,28,0.118268666667,0.700183331261,1,0.486911
morphology,lm-rank,f_score,lm_skip,3,28,0.0474183333333,0.280729693941,2,0.44137
morphology,lm-rank,f_score,lm_likelihood_weight,5,28,0.07847775,0.46461006092,0.0,0.49143625
morphology,lm-rank,f_score,lm_prior_weight,5,28,0.07847775,0.46461006092,1.0,0.49143625
morphology,lm-rank,f_score,lm_length_penalty,4,28,0.00758226153846,0.0448890927084,inverse_log_parts,0.4337888
morphology,lm-skip,f_score,lm_window_length,3,9,0,0,2,0.323133666667
morphology,lm-skip,f_score,lm_slide_length,3,9,0,0,2,0.323133666667
morphology,lm-skip,f_score,lm_top_split,3,9,0.355709,1,1,0.538576
morphology,lm-skip,f_score,lm_skip,3,9,0,0,2,0.323133666667
morphology,lm-subword,f_score,lm_window_length,3,12,0.016997,0.102196408064,4,0.261058666667
morphology,lm-subword,f_score,lm_slide_length,3,12,0.016997,0.102196408064,4,0.261058666667
morphology,lm-subword,f_score,lm_top_split,3,12,0.160980333333,0.967912680804,1,0.357329
morphology,lm-subword,f_score,lm_skip,3,12,0.016997,0.102196408064,4,0.261058666667
morphology,lm-syllable,f_score,lm_window_length,3,9,0.000984,0.006693149045,4,0.263645
morphology,lm-syllable,f_score,lm_slide_length,3,9,0.000984,0.006693149045,4,0.263645
morphology,lm-syllable,f_score,lm_top_split,3,9,0.146131333333,0.993982514375,1,0.35815
morphology,lm-syllable,f_score,lm_skip,3,9,0.000984,0.006693149045,4,0.263645
ner,frequent-ngram,f_score,lm_window_length,3,9,0.00537979501708,0.299811082619,3,0.402889348059
ner,frequent-ngram,f_score,lm_slide_length,3,9,0.00537979501708,0.299811082619,3,0.402889348059
ner,frequent-ngram,f_score,lm_top_split,3,9,0.00936065283418,0.521660667615,1,0.405295497225
ner,frequent-ngram,f_score,lm_skip,3,9,0.00537979501708,0.299811082619,3,0.402889348059
ner,lm-lemma,f_score,lm_window_length,3,28,0.0100351500922,0.346411121734,4,0.653381490086
ner,lm-lemma,f_score,lm_slide_length,3,28,0.0100351500922,0.346411121734,4,0.653381490086
ner,lm-lemma,f_score,lm_top_split,3,28,0.00726292131334,0.250714408464,5,0.653881975549
ner,lm-lemma,f_score,lm_skip,3,28,0.0100351500922,0.346411121734,4,0.653381490086
ner,lm-lemma,f_score,lm_likelihood_weight,5,28,0.00678629434304,0.234261352764,0.0,0.651066770618
ner,lm-lemma,f_score,lm_prior_weight,5,28,0.00678629434304,0.234261352764,1.0,0.651066770618
ner,lm-lemma,f_score,lm_length_penalty,4,28,0.00660121197715,0.227872351165,inverse_log_parts,0.650001679157
ner,lm-rank,f_score,lm_window_length,3,28,0.0155409698132,0.311536167634,2,0.510919312307
ner,lm-rank,f_score,lm_slide_length,3,28,0.0155409698132,0.311536167634,2,0.510919312307
ner,lm-rank,f_score,lm_top_split,3,28,0.0244132133977,0.489390239667,1,0.518105014542
ner,lm-rank,f_score,lm_skip,3,28,0.0155409698132,0.311536167634,2,0.510919312307
ner,lm-rank,f_score,lm_likelihood_weight,5,28,0.0208054802491,0.417069182972,0.5,0.502313991206
ner,lm-rank,f_score,lm_prior_weight,5,28,0.0208054802491,0.417069182972,0.5,0.502313991206
ner,lm-rank,f_score,lm_length_penalty,4,28,0.0107060959735,0.214615699663,none,0.501989965508
ner,lm-skip,f_score,lm_window_length,3,9,0.0107105318743,0.0734412148606,4,0.595183934919
ner,lm-skip,f_score,lm_slide_length,3,9,0.0107105318743,0.0734412148606,4,0.595183934919
ner,lm-skip,f_score,lm_top_split,3,9,0.129821634468,0.890176012025,1,0.664269407503
ner,lm-skip,f_score,lm_skip,3,9,0.0107105318743,0.0734412148606,4,0.595183934919
ner,lm-subword,f_score,lm_window_length,3,12,0.0145377748278,0.20304065168,2,0.561041495975
ner,lm-subword,f_score,lm_slide_length,3,12,0.0145377748278,0.20304065168,2,0.561041495975
