task,method,status,elapsed_millis,result_csv,result_summary
"analogy","frequent-ngram","completed","1","resources/results/reviewer1/comment1-analogy-frequent-ngram.csv","resources/results/reviewer1/comment1-analogy-frequent-ngram.md"
"analogy","lm-lemma","completed","3","resources/results/reviewer1/comment1-analogy-lm-lemma.csv","resources/results/reviewer1/comment1-analogy-lm-lemma.md"
"analogy","lm-rank","completed","1","resources/results/reviewer1/comment1-analogy-lm-rank.csv","resources/results/reviewer1/comment1-analogy-lm-rank.md"
"analogy","lm-sentencepiece","completed","1241361","resources/results/reviewer1/comment1-analogy-lm-sentencepiece.csv","resources/results/reviewer1/comment1-analogy-lm-sentencepiece.md"
"analogy","lm-skip","completed","1","resources/results/reviewer1/comment1-analogy-lm-skip.csv","resources/results/reviewer1/comment1-analogy-lm-skip.md"
"analogy","lm-subword","completed","6","resources/results/reviewer1/comment1-analogy-lm-subword.csv","resources/results/reviewer1/comment1-analogy-lm-subword.md"
"analogy","lm-syllable","completed","3","resources/results/reviewer1/comment1-analogy-lm-syllable.csv","resources/results/reviewer1/comment1-analogy-lm-syllable.md"
"analogy","lm-word","completed","1","resources/results/reviewer1/comment1-analogy-lm-word.csv","resources/results/reviewer1/comment1-analogy-lm-word.md"
"morphology","frequent-ngram","completed","4","resources/results/reviewer1/comment1-morphology-frequent-ngram.csv","resources/results/reviewer1/comment1-morphology-frequent-ngram.md"
"morphology","lm-lemma","completed","11","resources/results/reviewer1/comment1-morphology-lm-lemma.csv","resources/results/reviewer1/comment1-morphology-lm-lemma.md"
"morphology","lm-rank","completed","8","resources/results/reviewer1/comment1-morphology-lm-rank.csv","resources/results/reviewer1/comment1-morphology-lm-rank.md"
"morphology","lm-sentencepiece","completed","2641","resources/results/reviewer1/comment1-morphology-lm-sentencepiece.csv","resources/results/reviewer1/comment1-morphology-lm-sentencepiece.md"
"morphology","lm-skip","completed","3","resources/results/reviewer1/comment1-morphology-lm-skip.csv","resources/results/reviewer1/comment1-morphology-lm-skip.md"
"morphology","lm-subword","completed","4","resources/results/reviewer1/comment1-morphology-lm-subword.csv","resources/results/reviewer1/comment1-morphology-lm-subword.md"
"morphology","lm-syllable","completed","4","resources/results/reviewer1/comment1-morphology-lm-syllable.csv","resources/results/reviewer1/comment1-morphology-lm-syllable.md"
"morphology","lm-word","completed","11","resources/results/reviewer1/comment1-morphology-lm-word.csv","resources/results/reviewer1/comment1-morphology-lm-word.md"
"ner","frequent-ngram","completed","18","resources/results/reviewer1/comment1-ner-frequent-ngram.csv","resources/results/reviewer1/comment1-ner-frequent-ngram.md"
"ner","lm-lemma","completed","17","resources/results/reviewer1/comment1-ner-lm-lemma.csv","resources/results/reviewer1/comment1-ner-lm-lemma.md"
"ner","lm-rank","completed","11","resources/results/reviewer1/comment1-ner-lm-rank.csv","resources/results/reviewer1/comment1-ner-lm-rank.md"
"ner","lm-sentencepiece","completed","2170604","resources/results/reviewer1/comment1-ner-lm-sentencepiece.csv","resources/results/reviewer1/comment1-ner-lm-sentencepiece.md"
"ner","lm-skip","completed","2","resources/results/reviewer1/comment1-ner-lm-skip.csv","resources/results/reviewer1/comment1-ner-lm-skip.md"
"ner","lm-subword","completed","3","resources/results/reviewer1/comment1-ner-lm-subword.csv","resources/results/reviewer1/comment1-ner-lm-subword.md"
"ner","lm-syllable","completed","2","resources/results/reviewer1/comment1-ner-lm-syllable.csv","resources/results/reviewer1/comment1-ner-lm-syllable.md"
"ner","lm-word","completed","1","resources/results/reviewer1/comment1-ner-lm-word.csv","resources/results/reviewer1/comment1-ner-lm-word.md"
"pos","frequent-ngram","completed","2","resources/results/reviewer1/comment1-pos-frequent-ngram.csv","resources/results/reviewer1/comment1-pos-frequent-ngram.md"
"pos","lm-lemma","completed","10","resources/results/reviewer1/comment1-pos-lm-lemma.csv","resources/results/reviewer1/comment1-pos-lm-lemma.md"
"pos","lm-rank","completed","9","resources/results/reviewer1/comment1-pos-lm-rank.csv","resources/results/reviewer1/comment1-pos-lm-rank.md"
"pos","lm-sentencepiece","completed","1298482","resources/results/reviewer1/comment1-pos-lm-sentencepiece.csv","resources/results/reviewer1/comment1-pos-lm-sentencepiece.md"
"pos","lm-skip","completed","18","resources/results/reviewer1/comment1-pos-lm-skip.csv","resources/results/reviewer1/comment1-pos-lm-skip.md"
"pos","lm-subword","completed","8","resources/results/reviewer1/comment1-pos-lm-subword.csv","resources/results/reviewer1/comment1-pos-lm-subword.md"
"pos","lm-syllable","completed","10","resources/results/reviewer1/comment1-pos-lm-syllable.csv","resources/results/reviewer1/comment1-pos-lm-syllable.md"
"pos","lm-word","completed","18","resources/results/reviewer1/comment1-pos-lm-word.csv","resources/results/reviewer1/comment1-pos-lm-word.md"
"sentiment","frequent-ngram","completed","2","resources/results/reviewer1/comment1-sentiment-frequent-ngram.csv","resources/results/reviewer1/comment1-sentiment-frequent-ngram.md"
"sentiment","lm-lemma","completed","2","resources/results/reviewer1/comment1-sentiment-lm-lemma.csv","resources/results/reviewer1/comment1-sentiment-lm-lemma.md"
"sentiment","lm-rank","completed","29","resources/results/reviewer1/comment1-sentiment-lm-rank.csv","resources/results/reviewer1/comment1-sentiment-lm-rank.md"
"sentiment","lm-sentencepiece","completed","2642534","resources/results/reviewer1/comment1-sentiment-lm-sentencepiece.csv","resources/results/reviewer1/comment1-sentiment-lm-sentencepiece.md"
"sentiment","lm-skip","completed","8","resources/results/reviewer1/comment1-sentiment-lm-skip.csv","resources/results/reviewer1/comment1-sentiment-lm-skip.md"
"sentiment","lm-subword","completed","4","resources/results/reviewer1/comment1-sentiment-lm-subword.csv","resources/results/reviewer1/comment1-sentiment-lm-subword.md"
"sentiment","lm-syllable","completed","5","resources/results/reviewer1/comment1-sentiment-lm-syllable.csv","resources/results/reviewer1/comment1-sentiment-lm-syllable.md"
"sentiment","lm-word","completed","0","resources/results/reviewer1/comment1-sentiment-lm-word.csv","resources/results/reviewer1/comment1-sentiment-lm-word.md"
