task,metric,method,variant_id,score,score_status,best_comparable_variant_id,best_comparable_score,result_filename
analogy,accuracy,frequent-ngram,v4,0.0175551734021,current,v4,0.0175551734021,resources/results/skip/frequent-ngram/intrinsic/skip//240-3-2012347133.xml
analogy,accuracy,lm-lemma,v26,0.0326024648897,current,v26,0.0326024648897,resources/results/skip/lm-lemma/intrinsic/skip//240-3-146232889.xml
analogy,accuracy,lm-rank,v3,0.00186299799369,current,v3,0.00186299799369,resources/results/skip/lm-rank/intrinsic/skip//240-2-1788272837.xml
analogy,accuracy,lm-skip,v8,0.0207795930066,current,v8,0.0207795930066,resources/results/skip/lm-skip/intrinsic/skip//240-4--966696712.xml
analogy,accuracy,lm-subword,v8,0.0377615362568,current,v8,0.0377615362568,resources/results/skip/lm-subword/intrinsic/skip//240-4--969178749.xml
analogy,accuracy,lm-syllable,v3,0.00207795930066,current,v3,0.00207795930066,resources/results/skip/lm-syllable/intrinsic/skip//240-2--1182771463.xml
analogy,accuracy,lm-word,v1,0.000143307537976,current,v1,0.000143307537976,resources/results/skip/lm-word/intrinsic/skip//200000-10-1188798455.xml
morphology,f_score,frequent-ngram,v1,0.345762,current,v1,0.345762,resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v1-175838085.csv
morphology,f_score,lm-lemma,v1,0.475877,current,v1,0.475877,resources/results/reviewer1/morphology/comment1-morphology-lm-lemma-v1--1392569637.csv
morphology,f_score,lm-rank,v11,0.493722,current,v11,0.493722,resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v11--105505461.csv
morphology,f_score,lm-skip,v1,0.538576,current,v1,0.538576,resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v1-249470410.csv
morphology,f_score,lm-subword,v1,0.357329,current,v1,0.357329,resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v1-74555517.csv
morphology,f_score,lm-syllable,v1,0.35815,current,v1,0.35815,resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v1-1312390923.csv
morphology,f_score,lm-word,v1,0.345762,current,v1,0.345762,resources/results/reviewer1/morphology/comment1-morphology-lm-word-v1-249640291.csv
ner,f_score,frequent-ngram,v5,0.407217562893,current,v5,0.407217562893,resources/results/skip/frequent-ngram/ner/skip//240-3-1672034009.xml
ner,f_score,lm-lemma,v11,0.660480324697,current,v11,0.660480324697,resources/results/skip/lm-lemma/ner/skip//240-3-1922520633.xml
ner,f_score,lm-rank,v1,0.526664107914,current,v1,0.526664107914,resources/results/skip/lm-rank/ner/skip//240-2--1826068211.xml
ner,f_score,lm-skip,v7,0.66986246136,current,v7,0.66986246136,resources/results/skip/lm-skip/ner/skip//240-4--626383588.xml
ner,f_score,lm-subword,v1,0.591842782176,current,v1,0.591842782176,resources/results/skip/lm-subword/ner/skip//240-2-1107668419.xml
ner,f_score,lm-syllable,v7,0.682858516552,current,v7,0.682858516552,resources/results/skip/lm-syllable/ner/skip//240-4-2056288037.xml
ner,f_score,lm-word,v1,0.126547199986,current,v1,0.126547199986,resources/results/skip/lm-word/ner/skip//200000-10-1188798455.xml
pos,f_score,frequent-ngram,v2,0.481695088984,current,v2,0.481695088984,resources/results/skip/frequent-ngram/pos/skip//240-2-392817383.xml
pos,f_score,lm-lemma,v8,0.645612056817,current,v8,0.645612056817,resources/results/skip/lm-lemma/pos/skip//240-4--417160879.xml
pos,f_score,lm-rank,v1,0.625917297739,current,v1,0.625917297739,resources/results/skip/lm-rank/pos/skip//240-2--1826068211.xml
pos,f_score,lm-skip,v1,0.88445807771,legacy-missing-precision-recall,,,resources/results/skip/lm-skip/pos/skip//240-2-1110150456.xml
pos,f_score,lm-subword,v4,0.642949544215,current,v4,0.642949544215,resources/results/skip/lm-subword/pos/skip//240-3--1908082251.xml
pos,f_score,lm-syllable,v1,0.633459738006,current,v1,0.633459738006,resources/results/skip/lm-syllable/pos/skip//240-2--502145215.xml
pos,f_score,lm-word,v1,0.0267056918454,current,v1,0.0267056918454,resources/results/skip/lm-word/pos/skip//200000-10-1188798455.xml
sentiment,f_score,frequent-ngram,v3,0.585580306176,current,v3,0.585580306176,resources/results/skip/frequent-ngram/sentiment/skip//240-2-52504259.xml
sentiment,f_score,lm-lemma,v12,0.646935347752,current,v12,0.646935347752,resources/results/skip/lm-lemma/sentiment/skip//240-3-1599431083.xml
sentiment,f_score,lm-rank,v24,0.626831153398,current,v24,0.626831153398,resources/results/skip/lm-rank/sentiment/skip//240-3-2103299387.xml
sentiment,f_score,lm-skip,v4,0.678592423233,current,v4,0.678592423233,resources/results/skip/lm-skip/sentiment/skip//240-3--1905600214.xml
sentiment,f_score,lm-subword,v4,0.66966549801,current,v4,0.66966549801,resources/results/skip/lm-subword/sentiment/skip//240-3--1908082251.xml
sentiment,f_score,lm-syllable,v1,0.661312291717,current,v1,0.661312291717,resources/results/skip/lm-syllable/sentiment/skip//240-2--502145215.xml
sentiment,f_score,lm-word,v1,0.651535472969,current,v1,0.651535472969,resources/results/skip/lm-word/sentiment/skip//200000-10-1188798455.xml
