variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status
"v1","morphology","lm-subword","2","2","1","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v1-74555517.csv","0.284020","0.357329","found"
"v2","morphology","lm-subword","2","2","3","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v2-74556203.csv","0.220460","0.222423","found"
"v3","morphology","lm-subword","2","2","5","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v3-74556889.csv","0.214118","0.198302","found"
"v4","morphology","lm-subword","3","3","1","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v4-74557974.csv","0.284020","0.357329","found"
"v5","morphology","lm-subword","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v5-74558660.csv","0.221701","0.224409","found"
"v6","morphology","lm-subword","3","3","5","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v6-74559346.csv","0.205984","0.191012","found"
"v7","morphology","lm-subword","4","4","1","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v7-74560431.csv","0.284020","0.357329","found"
"v8","morphology","lm-subword","4","4","3","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v8-74561117.csv","0.223356","0.226115","found"
"v9","morphology","lm-subword","4","4","5","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v9-74561803.csv","0.215635","0.199732","found"
"v10","morphology","lm-subword","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v10-113265181.csv","0.228457","0.230668","found"
"v11","morphology","lm-subword","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v11-117382896.csv","0.224045","0.226355","found"
"v12","morphology","lm-subword","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-subword-v12-125618326.csv","0.232042","0.234597","found"
