variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,sentencepiece_model_type,sentencepiece_vocab_size,sentencepiece_character_coverage,corpus_filename,result_filename,accuracy,f1,status
"v1","sentiment","lm-rank","2","2","1","2","7","100","0.15","0.85","none","","","","resources/text//sentiment/249431159.txt","resources/results/skip/lm-rank/sentiment/skip//240-2--1826068211.xml","","","found"
"v2","sentiment","lm-rank","2","2","3","2","7","100","0.15","0.85","none","","","","resources/text//sentiment/249431845.txt","resources/results/skip/lm-rank/sentiment/skip//240-2-2128585961.xml","","","found"
"v3","sentiment","lm-rank","2","2","5","2","7","100","0.15","0.85","none","","","","resources/text//sentiment/249432531.txt","resources/results/skip/lm-rank/sentiment/skip//240-2-1788272837.xml","","","found"
"v4","sentiment","lm-rank","3","3","1","3","7","100","0.15","0.85","none","","","","resources/text//sentiment/249433616.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--546851585.xml","","","found"
"v5","sentiment","lm-rank","3","3","3","3","7","100","0.15","0.85","none","","","","resources/text//sentiment/249434302.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--887164709.xml","","","found"
"v6","sentiment","lm-rank","3","3","5","3","7","100","0.15","0.85","none","","","","resources/text//sentiment/249434988.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--1227477833.xml","","","found"
"v7","sentiment","lm-rank","4","4","1","4","7","100","0.15","0.85","none","","","","resources/text//sentiment/249436073.txt","resources/results/skip/lm-rank/sentiment/skip//240-4-732365041.xml","","","found"
"v8","sentiment","lm-rank","4","4","3","4","7","100","0.15","0.85","none","","","","resources/text//sentiment/249436759.txt","resources/results/skip/lm-rank/sentiment/skip//240-4-392051917.xml","","","found"
"v9","sentiment","lm-rank","4","4","5","4","7","100","0.15","0.85","none","","","","resources/text//sentiment/249437445.txt","resources/results/skip/lm-rank/sentiment/skip//240-4-51738793.xml","","","found"
"v10","sentiment","lm-rank","3","3","3","3","7","100","0.0","1.0","none","","","","resources/text//sentiment/-437643492.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-2051807255.xml","","","found"
"v11","sentiment","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_parts","","","","resources/text//sentiment/-105505461.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--1563233867.xml","","","found"
"v12","sentiment","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_sqrt_parts","","","","resources/text//sentiment/-963158364.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--1886323417.xml","","","found"
"v13","sentiment","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_log_parts","","","","resources/text//sentiment/-1289888530.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--167916229.xml","","","found"
"v14","sentiment","lm-rank","3","3","3","3","7","100","0.05","0.95","none","","","","resources/text//sentiment/-1711814143.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--496453727.xml","","","found"
"v15","sentiment","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_parts","","","","resources/text//sentiment/-1379676112.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-183472447.xml","","","found"
"v16","sentiment","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_sqrt_parts","","","","resources/text//sentiment/2057638281.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--139617103.xml","","","found"
"v17","sentiment","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_log_parts","","","","resources/text//sentiment/1730908115.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-1578790085.xml","","","found"
"v18","sentiment","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_parts","","","","resources/text//sentiment/-533848757.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--1715277387.xml","","","found"
"v19","sentiment","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_sqrt_parts","","","","resources/text//sentiment/-1391501660.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--2038366937.xml","","","found"
"v20","sentiment","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_log_parts","","","","resources/text//sentiment/-1718231826.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--319959749.xml","","","found"
"v21","sentiment","lm-rank","3","3","3","3","7","100","0.3","0.7","none","","","","resources/text//sentiment/-140896484.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-28055575.xml","","","found"
"v22","sentiment","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_parts","","","","resources/text//sentiment/191241547.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-707981749.xml","","","found"
"v23","sentiment","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_sqrt_parts","","","","resources/text//sentiment/-666411356.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-384892199.xml","","","found"
"v24","sentiment","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_log_parts","","","","resources/text//sentiment/-993141522.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-2103299387.xml","","","found"
"v25","sentiment","lm-rank","3","3","3","3","7","100","0.5","0.5","none","","","","resources/text//sentiment/452597532.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-275519511.xml","","","found"
"v26","sentiment","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_parts","","","","resources/text//sentiment/784735563.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-955445685.xml","","","found"
"v27","sentiment","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_sqrt_parts","","","","resources/text//sentiment/-72917340.txt","resources/results/skip/lm-rank/sentiment/skip//240-3-632356135.xml","","","found"
"v28","sentiment","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_log_parts","","","","resources/text//sentiment/-399647506.txt","resources/results/skip/lm-rank/sentiment/skip//240-3--1944203973.xml","","","found"
