variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,sentencepiece_model_type,sentencepiece_vocab_size,sentencepiece_character_coverage,corpus_filename,result_filename,accuracy,f1,status
"v1","pos","lm-rank","2","2","1","2","7","100","0.15","0.85","none","","","","resources/text//pos/249431159.txt","resources/results/skip/lm-rank/pos/skip//240-2--1826068211.xml","","","found"
"v2","pos","lm-rank","2","2","3","2","7","100","0.15","0.85","none","","","","resources/text//pos/249431845.txt","resources/results/skip/lm-rank/pos/skip//240-2-2128585961.xml","","","found"
"v3","pos","lm-rank","2","2","5","2","7","100","0.15","0.85","none","","","","resources/text//pos/249432531.txt","resources/results/skip/lm-rank/pos/skip//240-2-1788272837.xml","","","found"
"v4","pos","lm-rank","3","3","1","3","7","100","0.15","0.85","none","","","","resources/text//pos/249433616.txt","resources/results/skip/lm-rank/pos/skip//240-3--546851585.xml","","","found"
"v5","pos","lm-rank","3","3","3","3","7","100","0.15","0.85","none","","","","resources/text//pos/249434302.txt","resources/results/skip/lm-rank/pos/skip//240-3--887164709.xml","","","found"
"v6","pos","lm-rank","3","3","5","3","7","100","0.15","0.85","none","","","","resources/text//pos/249434988.txt","resources/results/skip/lm-rank/pos/skip//240-3--1227477833.xml","","","found"
"v7","pos","lm-rank","4","4","1","4","7","100","0.15","0.85","none","","","","resources/text//pos/249436073.txt","resources/results/skip/lm-rank/pos/skip//240-4-732365041.xml","","","found"
"v8","pos","lm-rank","4","4","3","4","7","100","0.15","0.85","none","","","","resources/text//pos/249436759.txt","resources/results/skip/lm-rank/pos/skip//240-4-392051917.xml","","","found"
"v9","pos","lm-rank","4","4","5","4","7","100","0.15","0.85","none","","","","resources/text//pos/249437445.txt","resources/results/skip/lm-rank/pos/skip//240-4-51738793.xml","","","found"
"v10","pos","lm-rank","3","3","3","3","7","100","0.0","1.0","none","","","","resources/text//pos/-437643492.txt","resources/results/skip/lm-rank/pos/skip//240-3-2051807255.xml","","","found"
"v11","pos","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_parts","","","","resources/text//pos/-105505461.txt","resources/results/skip/lm-rank/pos/skip//240-3--1563233867.xml","","","found"
"v12","pos","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_sqrt_parts","","","","resources/text//pos/-963158364.txt","resources/results/skip/lm-rank/pos/skip//240-3--1886323417.xml","","","found"
"v13","pos","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_log_parts","","","","resources/text//pos/-1289888530.txt","resources/results/skip/lm-rank/pos/skip//240-3--167916229.xml","","","found"
"v14","pos","lm-rank","3","3","3","3","7","100","0.05","0.95","none","","","","resources/text//pos/-1711814143.txt","resources/results/skip/lm-rank/pos/skip//240-3--496453727.xml","","","found"
"v15","pos","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_parts","","","","resources/text//pos/-1379676112.txt","resources/results/skip/lm-rank/pos/skip//240-3-183472447.xml","","","found"
"v16","pos","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_sqrt_parts","","","","resources/text//pos/2057638281.txt","resources/results/skip/lm-rank/pos/skip//240-3--139617103.xml","","","found"
"v17","pos","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_log_parts","","","","resources/text//pos/1730908115.txt","resources/results/skip/lm-rank/pos/skip//240-3-1578790085.xml","","","found"
"v18","pos","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_parts","","","","resources/text//pos/-533848757.txt","resources/results/skip/lm-rank/pos/skip//240-3--1715277387.xml","","","found"
"v19","pos","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_sqrt_parts","","","","resources/text//pos/-1391501660.txt","resources/results/skip/lm-rank/pos/skip//240-3--2038366937.xml","","","found"
"v20","pos","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_log_parts","","","","resources/text//pos/-1718231826.txt","resources/results/skip/lm-rank/pos/skip//240-3--319959749.xml","","","found"
"v21","pos","lm-rank","3","3","3","3","7","100","0.3","0.7","none","","","","resources/text//pos/-140896484.txt","resources/results/skip/lm-rank/pos/skip//240-3-28055575.xml","","","found"
"v22","pos","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_parts","","","","resources/text//pos/191241547.txt","resources/results/skip/lm-rank/pos/skip//240-3-707981749.xml","","","found"
"v23","pos","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_sqrt_parts","","","","resources/text//pos/-666411356.txt","resources/results/skip/lm-rank/pos/skip//240-3-384892199.xml","","","found"
"v24","pos","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_log_parts","","","","resources/text//pos/-993141522.txt","resources/results/skip/lm-rank/pos/skip//240-3-2103299387.xml","","","found"
"v25","pos","lm-rank","3","3","3","3","7","100","0.5","0.5","none","","","","resources/text//pos/452597532.txt","resources/results/skip/lm-rank/pos/skip//240-3-275519511.xml","","","found"
"v26","pos","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_parts","","","","resources/text//pos/784735563.txt","resources/results/skip/lm-rank/pos/skip//240-3-955445685.xml","","","found"
"v27","pos","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_sqrt_parts","","","","resources/text//pos/-72917340.txt","resources/results/skip/lm-rank/pos/skip//240-3-632356135.xml","","","found"
"v28","pos","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_log_parts","","","","resources/text//pos/-399647506.txt","resources/results/skip/lm-rank/pos/skip//240-3--1944203973.xml","","","found"
