variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status
"v1","morphology","lm-rank","2","2","1","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v1-249431159.csv","0.503929","0.486911","found"
"v2","morphology","lm-rank","2","2","3","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v2-249431845.csv","0.489728","0.439903","found"
"v3","morphology","lm-rank","2","2","5","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v3-249432531.csv","0.441610","0.397296","found"
"v4","morphology","lm-rank","3","3","1","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v4-249433616.csv","0.503929","0.486911","found"
"v5","morphology","lm-rank","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v5-249434302.csv","0.472081","0.417918","found"
"v6","morphology","lm-rank","3","3","5","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v6-249434988.csv","0.432373","0.383820","found"
"v7","morphology","lm-rank","4","4","1","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v7-249436073.csv","0.503929","0.486911","found"
"v8","morphology","lm-rank","4","4","3","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v8-249436759.csv","0.422722","0.370133","found"
"v9","morphology","lm-rank","4","4","5","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v9-249437445.csv","0.370467","0.324811","found"
"v10","morphology","lm-rank","3","3","3","3","7","100","0.0","1.0","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v10--437643492.csv","0.503929","0.486911","found"
"v11","morphology","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v11--105505461.csv","0.509582","0.493722","found"
"v12","morphology","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v12--963158364.csv","0.508341","0.492223","found"
"v13","morphology","lm-rank","3","3","3","3","7","100","0.0","1.0","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v13--1289888530.csv","0.508893","0.492889","found"
"v14","morphology","lm-rank","3","3","3","3","7","100","0.05","0.95","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v14--1711814143.csv","0.485454","0.429443","found"
"v15","morphology","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v15--1379676112.csv","0.479801","0.425090","found"
"v16","morphology","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v16-2057638281.csv","0.481870","0.426740","found"
"v17","morphology","lm-rank","3","3","3","3","7","100","0.05","0.95","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v17-1730908115.csv","0.483800","0.428633","found"
"v18","morphology","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v18--533848757.csv","0.470840","0.416921","found"
"v19","morphology","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v19--1391501660.csv","0.470978","0.417018","found"
"v20","morphology","lm-rank","3","3","3","3","7","100","0.15","0.85","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v20--1718231826.csv","0.471667","0.417679","found"
"v21","morphology","lm-rank","3","3","3","3","7","100","0.3","0.7","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v21--140896484.csv","0.467117","0.413978","found"
"v22","morphology","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v22-191241547.csv","0.464635","0.411829","found"
"v23","morphology","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v23--666411356.csv","0.464911","0.412023","found"
"v24","morphology","lm-rank","3","3","3","3","7","100","0.3","0.7","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v24--993141522.csv","0.467117","0.414004","found"
"v25","morphology","lm-rank","3","3","3","3","7","100","0.5","0.5","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v25-452597532.csv","0.468358","0.415739","found"
"v26","morphology","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v26-784735563.csv","0.468358","0.415739","found"
"v27","morphology","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_sqrt_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v27--72917340.csv","0.468358","0.415739","found"
"v28","morphology","lm-rank","3","3","3","3","7","100","0.5","0.5","inverse_log_parts","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-rank-v28--399647506.csv","0.468358","0.415739","found"
