variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status
"v1","sentiment","lm-lemma","2","2","1","2","7","100","0.15","0.85","none","resources/text//sentiment/-1392569637.txt","resources/results/skip/lm-lemma/sentiment/skip//240-2-1659686289.xml","","","found"
"v2","sentiment","lm-lemma","2","2","3","2","7","100","0.15","0.85","none","resources/text//sentiment/-1392568951.txt","resources/results/skip/lm-lemma/sentiment/skip//240-2-1319373165.xml","","","found"
"v3","sentiment","lm-lemma","2","2","5","2","7","100","0.15","0.85","none","resources/text//sentiment/-1392568265.txt","resources/results/skip/lm-lemma/sentiment/skip//240-2-979060041.xml","","","found"
"v4","sentiment","lm-lemma","3","3","1","3","7","100","0.15","0.85","none","resources/text//sentiment/-1392567180.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--1356064381.xml","","","found"
"v5","sentiment","lm-lemma","3","3","3","3","7","100","0.15","0.85","none","resources/text//sentiment/-1392566494.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--1696377505.xml","","","found"
"v6","sentiment","lm-lemma","3","3","5","3","7","100","0.15","0.85","none","resources/text//sentiment/-1392565808.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--2036690629.xml","","","found"
"v7","sentiment","lm-lemma","4","4","1","4","7","100","0.15","0.85","none","resources/text//sentiment/-1392564723.txt","resources/results/skip/lm-lemma/sentiment/skip//240-4--76847755.xml","","","found"
"v8","sentiment","lm-lemma","4","4","3","4","7","100","0.15","0.85","none","resources/text//sentiment/-1392564037.txt","resources/results/skip/lm-lemma/sentiment/skip//240-4--417160879.xml","","","found"
"v9","sentiment","lm-lemma","4","4","5","4","7","100","0.15","0.85","none","resources/text//sentiment/-1392563351.txt","resources/results/skip/lm-lemma/sentiment/skip//240-4--757474003.xml","","","found"
"v10","sentiment","lm-lemma","3","3","3","3","7","100","0.0","1.0","none","resources/text//sentiment/-2079644288.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-1242594459.xml","","","found"
"v11","sentiment","lm-lemma","3","3","3","3","7","100","0.0","1.0","inverse_parts","resources/text//sentiment/-1747506257.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-1922520633.xml","","","found"
"v12","sentiment","lm-lemma","3","3","3","3","7","100","0.0","1.0","inverse_sqrt_parts","resources/text//sentiment/1689808136.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-1599431083.xml","","","found"
"v13","sentiment","lm-lemma","3","3","3","3","7","100","0.0","1.0","inverse_log_parts","resources/text//sentiment/1363077970.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--977129025.xml","","","found"
"v14","sentiment","lm-lemma","3","3","3","3","7","100","0.05","0.95","none","resources/text//sentiment/941152357.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--1305666523.xml","","","found"
"v15","sentiment","lm-lemma","3","3","3","3","7","100","0.05","0.95","inverse_parts","resources/text//sentiment/1273290388.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--625740349.xml","","","found"
"v16","sentiment","lm-lemma","3","3","3","3","7","100","0.05","0.95","inverse_sqrt_parts","resources/text//sentiment/415637485.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--948829899.xml","","","found"
"v17","sentiment","lm-lemma","3","3","3","3","7","100","0.05","0.95","inverse_log_parts","resources/text//sentiment/88907319.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-769577289.xml","","","found"
"v18","sentiment","lm-lemma","3","3","3","3","7","100","0.15","0.85","inverse_parts","resources/text//sentiment/2119117743.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-1770477113.xml","","","found"
"v19","sentiment","lm-lemma","3","3","3","3","7","100","0.15","0.85","inverse_sqrt_parts","resources/text//sentiment/1261464840.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-1447387563.xml","","","found"
"v20","sentiment","lm-lemma","3","3","3","3","7","100","0.15","0.85","inverse_log_parts","resources/text//sentiment/934734674.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--1129172545.xml","","","found"
"v21","sentiment","lm-lemma","3","3","3","3","7","100","0.3","0.7","none","resources/text//sentiment/-1782897280.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--781157221.xml","","","found"
"v22","sentiment","lm-lemma","3","3","3","3","7","100","0.3","0.7","inverse_parts","resources/text//sentiment/-1450759249.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--101231047.xml","","","found"
"v23","sentiment","lm-lemma","3","3","3","3","7","100","0.3","0.7","inverse_sqrt_parts","resources/text//sentiment/1986555144.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--424320597.xml","","","found"
"v24","sentiment","lm-lemma","3","3","3","3","7","100","0.3","0.7","inverse_log_parts","resources/text//sentiment/1659824978.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-1294086591.xml","","","found"
"v25","sentiment","lm-lemma","3","3","3","3","7","100","0.5","0.5","none","resources/text//sentiment/-1189403264.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--533693285.xml","","","found"
"v26","sentiment","lm-lemma","3","3","3","3","7","100","0.5","0.5","inverse_parts","resources/text//sentiment/-857265233.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-146232889.xml","","","found"
"v27","sentiment","lm-lemma","3","3","3","3","7","100","0.5","0.5","inverse_sqrt_parts","resources/text//sentiment/-1714918136.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3--176856661.xml","","","found"
"v28","sentiment","lm-lemma","3","3","3","3","7","100","0.5","0.5","inverse_log_parts","resources/text//sentiment/-2041648302.txt","resources/results/skip/lm-lemma/sentiment/skip//240-3-1541550527.xml","","","found"
